address1,address2,aging,anti_discrimination_human_rights,arts_culture,bbl,bin,borough,bronx,brooklyn,business,census_tract,child_care_parent_information,city,community_board,community_council,community_service_volunteerism,counseling_support_groups,description,disabilities,domestic_violence,education,employment_job_training,faith_based_organization,fax,foundation,health,homelessness,housing,immigration,is_registered_with_the_attorney_general_s_office,latitude,legal_services,lesbian_gay_bisexual_and_or_transgender,location_1,longitude,manhattan,new_york_city_agency,none_of_the_above,nonprofit,nourl,nta,organizationname,other_government_organization,outsideloc,outsidelocdesc,personal_finance_financial_education,phone,postcode,professional_association,published,queens,staten_island,url,veterans_military_families,victim_services,youth_services
Family Resource Center,500 West 56th Street,N,N,N,,,,N,Y,N,,Y,New York,,,N,Y,"Established in 1858, the YWCA of the City of New York is one of the nationï¿½s oldest non-profit organizations. Our mission is to address the critical needs of New York City women and to empower them for success and leadership in their lives, jobs and communities. We focus on underserved families through job training, educational child care and after school programs; partnerships with business, government and other not-for-profits; and advocacy on behalf of the clients we serve.",N,N,N,Y,N,2122236438,N,N,N,N,N,N,,N,N,,,Y,N,N,Y,N,,YWCA of the City of New York,N,N,,N,2127554500,10019,N,Published,N,Y,http://www.ywcanyc.org,N,N,Y
"26 Court Street,  Suite 505",,N,N,N,3002500001,3002094,BROOKLYN ,Y,Y,N,9,N,Brooklyn,2,33,Y,N,"Our mission is to build safer communities by ending gender-based violence, from sexual harassment to assault.  We accomplish this through community organizing, offering direct service programs, plus fostering greater safety awareness and individual empowerment in our related educational programs.

In our central program, RightRides, we offer women and transgender individuals a free, late-night ride home to ensure their safe commute to or through high-risk areas.  Since 2004, RightRides has driven nearly 2,000 Riders safely home in 45 NYC neighborhoods.",N,Y,N,N,N,,N,N,N,N,N,N,40.693244,N,Y,"{'latitude': '40.693244', 'needs_recoding': False, 'longitude': '-73.99066'}",-73.99066,Y,N,N,Y,N,Brooklyn Heights-Cobble Hill                                               ,RightRides for Women's Safety,N,N,,N,7185220822,11242,N,Published,Y,N,http://www.rightrides.org,N,N,N
Women's Health Department,268 Canal Street,N,N,N,,,,N,N,N,,N,New York,,,N,Y,"The Women's Health Department is a unique community based health care program serving uninsured women in New York City. The majority of our clients are low income women who are recent immigrants. The Health Center provides a wide array of primary and specialty services, including gynecological care, family planning, pregnancy testing, prenatal and postnatal care, genetic and nutritional counseling, breast-feeding education, screening and education for HIV and STD infections, and screening and education for breast, cervical, ovarian and prostate cancers. The Women's Health Department also sponsors many outreach and health education programs to promote and increase the community's awareness of women's health issues.",N,N,N,N,N,,N,Y,N,N,N,N,,N,N,,,Y,N,N,Y,N,,Charles B. Wang Community Health Center,N,N,,N,2129660228,10013,N,Published,N,N,http://www.cbwchc.org/hcs/wh/wh.html,N,N,N
"112 E. 71st Street, Suite 2B",,N,N,N,1014057502,1083890,MANHATTAN,Y,Y,N,128,N,New York,8,4,N,N,"Founded in 1980, the American-Italian Cancer Foundation (AICF) supports cancer research, education, and early detection, emphasizing the unique resources of Italy and the United States, recognizing world-class scientific excellence in medicine, and serving the medically underserved in New York City through cancer screening, outreach, and education.  

AICF has been involved in providing mobile mammography services for over 20 years.  The purpose of the Mobile Mammography Program is to provide no-cost or low-cost mammography services to underserved women in New York City through our mobile mammography vans and portable mammography equipment.  Underserved women typically face economic, cultural or linguistic barriers to health care.  By partnering with community-based organizations and institutions, AICF brings mammography services directly to women in their communities.  

To request our mobile vans or equipment, please call 212-628-9090.",N,N,N,N,N,,N,Y,N,N,N,N,40.770141,N,N,"{'latitude': '40.770141', 'needs_recoding': False, 'longitude': '-73.96367'}",-73.96367,Y,N,N,Y,N,Upper East Side-Carnegie Hill                                              ,American-Italian Cancer Foundation's Mobile Mammography Program,N,N,,N,2126289090,10021,N,Published,Y,Y,http://www.americanitaliancancer.org,N,N,N
82-68 164th Street,,N,N,N,4068580001,4442431,QUEENS   ,N,N,N,1267,N,Jamaica,8,24,N,N,"We have an American Diabetes Association Recognized Diabetes Self-Management Education program- we provide 1:1 counseling and group education to people who are diagnosed with type 1 diabetes or type 2 diabetes.
the education is done in a classroom setting, we also offer a diabetes support group which meets once a month, every 4th Thursday of every month.",N,N,N,N,N,7188836310,N,Y,N,N,N,N,40.71725,N,N,"{'latitude': '40.71725', 'needs_recoding': False, 'longitude': '-73.803433'}",-73.803433,N,Y,Y,N,N,Pomonok-Flushing Heights-Hillcrest                                         ,QHC-Diabetes Center,N,N,,N,7188833172,11432,N,Published,Y,N,http://nyc.gov,N,N,N
395 Hudson Street,,N,Y,N,1006007501,1010382,MANHATTAN,Y,Y,Y,69,N,New York,2,3,N,N,"Founded in 1970 as NOW Legal Defense and Education Fund, Legal Momentum is the nation's oldest legal advocacy organization dedicated to advancing the rights of women and girls. Legal Momentum is a leader in establishing litigation and public policy strategies to secure equality and justice for women. Its groundbreaking work on behalf of women and girls is currently focused on freedom from violence against women, equal work and equal pay, the health of women and girls, strong families, and strong communities. Its ambitious and wide-ranging legal program is known for its cutting-edge legal theories and as a source of expert assistance to other women?s rights attorneys and organizations.

Legal Momentum occupies a unique position as a multi-issue organization dedicated solely to women?s rights. Its strategic litigation, advocacy and public education programs use the power of law to open opportunities closed to women and to ensure that all women can build safe and secure lives for themselves.",N,N,N,Y,N,,N,N,N,N,Y,N,40.729135,Y,N,"{'latitude': '40.729135', 'needs_recoding': False, 'longitude': '-74.007043'}",-74.007043,Y,N,N,Y,N,West Village                                                               ,Legal Momentum,N,Y,"Washington, D.C.",N,2129256635,10014,N,Published,Y,Y,http://www.legalmomentum.org,N,Y,N
223 E 30th Street,,N,N,N,1009110014,1019949,MANHATTAN,Y,Y,N,70,Y,New York City,6,2,N,N,"This program, which began in the Bronx, is now serving pregnant and parenting teenage girls city-wide. We match female mentors with pregnant teens or teenage mothers who could benefit from an additional source of support and are open to a new friendship. Mentors have the opportunity to spend time with the teen moms and their children on outings focused on bonding and positive parenting and they also spend one on one time with the teen mom. 
Through these matches, the teenage mothers increase their feeling of self-worth and learn to become more self-sufficient. Research shows that with additional support and motivation, young mothers can avoid further unwanted pregnancies and long-term dependence on welfare. 100% of the young mothers in our program showed measurable improvement in school performance, motivation and attendance after being matched for at least six months.
Program managers are available to refer participants to critical parenting-related services to address immediate fin",N,N,Y,N,N,2127791221,N,N,N,N,N,N,40.742923,N,N,"{'latitude': '40.742923', 'needs_recoding': False, 'longitude': '-73.979253'}",-73.979253,Y,N,N,Y,N,Murray Hill-Kips Bay                                                       ,Young Mothers Program/BBBS,N,N,,N,2126862042,10016,N,Published,Y,Y,http://www.bigsnyc.org,N,N,N
3300 Coney Island Avenue,,Y,N,Y,3086930001,3326880,BROOKLYN ,N,Y,N,36002,Y,Brooklyn,13,48,N,Y,Community center and settlement house serving south Brooklyn with programming and services for people of all ages.  Specialty is serving Russian speaking immigrants and their families.,Y,N,Y,Y,N,7186460376,N,Y,N,N,Y,N,40.575607,N,N,"{'latitude': '40.575607', 'needs_recoding': False, 'longitude': '-73.959463'}",-73.959463,N,N,N,Y,N,Brighton Beach                                                             ,Shorefront YM-YWHA,N,N,,N,7186461444,11235,N,Published,N,N,http://shorefronty.org,N,Y,N
P. O. Box 382,,N,Y,N,,,,Y,Y,N,,N,Holtsville,,,N,N,"FEW is an advocacy organization for women working for the federal government, working to eliminate barriers to advancement through education, networking, and representation before the Administration and Congress.",N,N,Y,Y,N,,N,N,N,N,N,N,,N,N,,,Y,N,N,Y,N,,Federally Employed Women (FEW),N,Y,"Washington, DC",N,6312584081,11742,Y,Published,Y,Y,http://www.few.org,N,N,N
P.O. Box 3112,,N,Y,N,,,,Y,Y,N,,N,New York,,,N,Y,"Sauti Yetu Center for African Women, whose name means ""Our Voice"" in Swahili, is a community-based nonprofit organization that seeks to inspire African immigrant women and girls to individual and collective self-empowerment.  It was founded in 2004 to address a broad spectrum of needs and concerns of women and girls from New York City's African immigrant and refugee community including female genital cutting, domestic and family violence prevention and enhancing women's and girls' leadership.",N,N,Y,N,N,7186652483,N,Y,N,N,Y,N,,N,N,,,Y,N,N,Y,N,,Sauti Yetu Center for African,N,N,,N,7186652486,10163,N,Published,Y,Y,http://www.sautiyetu.org,N,Y,N
