"","business_id","categories","city","name","longitude","state","latitude"
"1","usAsSV36QmUej8--yvN-dg","Food, Grocery","Phoenix","Food City",-112.0853773,"AZ",33.3922099
"2","PzOqRohWw7F7YEPBz6AubA","Food, Bagels, Delis, Restaurants","Glendale Az","Hot Bagels & Deli",-112.200264,"AZ",33.712797
"3","qarobAbxGSHI7ygf1f7a_Q","Sandwiches, Restaurants","Gilbert","Jersey Mike's Subs",-111.8120071,"AZ",33.3788385
"4","gA5CuBxF-0CnOpGnryWJdQ","Mexican, Restaurants","Phoenix","La Paloma Mexican Food",-112.0813612,"AZ",33.480105
"5","acaBJcFEKPmmSDIO6c-ZGQ","Food, Grocery","Goodyear","Basha's",-112.3920218,"AZ",33.468815
"6","JxVGJ9Nly2FFIs_WpJvkug","Pizza, Restaurants","Scottsdale","Sauce",-111.926272,"AZ",33.6174589
"7","Jj7bcQ6NDfKoz4TXwvYfMg","Burgers, Restaurants","Phoenix","Fuddruckers",-112.116243,"AZ",33.566989
"8","K0v87iFgB3sXSzw6e-BJ5w","Food, Beer, Wine & Spirits","Carefree","AZ Wine Company",-111.9229042,"AZ",33.8242305
"9","4IAzFJ159GEaIGX1-y6Bmw","Burgers, Fast Food, Restaurants","Scottsdale","McDonald's",-111.881625,"AZ",33.581867
"10","JHp5mJvYe6UtM_QsklR-iw","Pizza, Restaurants","Scottsdale","Peter Piper Pizza",-111.9175425,"AZ",33.4661264
"11","sygb2W4NRadVXiWhW8bnFQ","Mexican, Restaurants","Gila Bend","Sofia's Mexican Food",-112.7113217,"AZ",32.9482948
"12","507GX11jtCsVYlzaur05_w","Chinese, Restaurants","Phoenix","Panda Garden",-111.983142,"AZ",33.333182
"13","reMYkuDhLk4raAviOFtvOQ","Burgers, Restaurants","Phoenix","Lenny's Burger Shop",-112.119087,"AZ",33.597474
"14","MG1IbQUurcXn8NQgXGM34Q","Delis, Restaurants","Mesa","Yee-haws",-111.735789,"AZ",33.423805
"15","KqYY2rwD8ymjU9mVJwiuRQ","Chinese, Restaurants","Phoenix","Panda Gourmet",-112.0998396,"AZ",33.5682973
"16","jvvh4Q00Hq2XyIcfmAAT2A","Burgers, Restaurants","Scottsdale","Five Guys Burger and Fries",-111.9284569,"AZ",33.503323
"17","BF0XhsT8mEv6gpxru_8Syg","Food, Grocery","Glendale","Fry's & Fry's Marketplace",-112.1528218,"AZ",33.6378053
"18","RtwOc-n_RkiUuDGaNfCsNw","Cheesesteaks, Sandwiches, Restaurants","Tempe","Forefathers Gourmet Cheesesteaks & Fries",-111.9631173,"AZ",33.3351559
"19","ldsiFlvSxBhuZHZxvzWPYw","Food, Grocery","Phoenix","Loi Phat Oriental Food Grocery Store",-112.0962274,"AZ",33.5097112
"20","0YCV8260mMgN0PxuzAtO3g","Fast Food, Sandwiches, Restaurants","Phoenix","Subway",-112.0740911,"AZ",33.4503008
"21","rksEr9GshBvBkV4vAQbruQ","Food, Grocery","Gilbert","Fry's Food & Drug Stores & Fry's Marketplace",-111.8083119,"AZ",33.3340421
"22","WNy1uzcmm_UHmTyR--o5IA","Pubs, Bars, Nightlife, British, Restaurants","Tempe","Cornish Pasty Company",-111.951494,"AZ",33.422728
"23","woihBX8gAaEDL4nWtao9dg","Arts & Entertainment, Pizza, Arcades, Restaurants","Glendale","Chuck E Cheese",-112.2051629,"AZ",33.6380899
"24","0BpMvu5B9fY-KEbOuxLtFQ","Japanese, Restaurants","Phoenix","Kampai",-112.019165147988,"AZ",33.639951900923
"25","bIOEv4Gc49SiFhYedmN7aA","Food, Department Stores, Grocery, Fashion, Shopping","Queen Creek","Target",-111.64149939723,"AZ",33.25480254189
"26","jqZKv-7F54guDLalXEjHxg","Burgers, Restaurants","Scottsdale","Five Guys Burgers and Fries",-111.9254565,"AZ",33.6265775
"27","dzSPa5kkpQIRjMOHvDUF_Q","Bakeries, Food, Sandwiches, Restaurants","Phoenix","Paradise Bakery & Cafe",-112.1117309,"AZ",33.7129653
"28","kIco4kv-FHT6QqdkDQ2cow","American (Traditional), Fast Food, Restaurants","Scottsdale","Sonic Drive-In",-111.9093213,"AZ",33.4796348
"29","2qbajPD8M7PJlWWaHSRR5Q","Dive Bars, Bars, American (Traditional), Nightlife, Restaurants","Chandler","Draft House On The Reef",-111.8463705,"AZ",33.3344463
"30","tieXOBZlj01Hk_CR_sl0pg","Food, Grocery","Phoenix","Fry's Supermarket",-112.005508,"AZ",33.316848
"31","1XiG4o4edRcoBcIrP209yg","Food, Breweries","Phoenix","Old World Brewery",-112.113567,"AZ",33.452284
"32","AoO0FJyUm01lmIJJTcPWEQ","Burgers, Restaurants","Mesa","Giant Hamburgers",-111.7716542,"AZ",33.4064076
"33","xKXahNKbBUZtOPWibwq94w","Food, Wine Bars, Bars, Nightlife, Beer, Wine & Spirits","Scottsdale","AZ Wine Company",-111.925588,"AZ",33.475302
"34","eK6KGMKqU_4nB9RdayZD7Q","Mexican, Restaurants","Phoenix","Tee Pee Tap Room",-112.0657857,"AZ",33.4423368
"35","umdxfhSlk67yGEi8-S-bEg","Burgers, American (Traditional), Restaurants","Scottsdale","Cold Beers & Cheeseburgers",-111.924676895142,"AZ",33.6765685033475
"36","YowLDN2YEKVJpHv0Loqm5A","Hot Dogs, Restaurants","Phoenix","Jody Maroni's Sausage Kingdom",-112.0178286,"AZ",33.4382789
"37","HQFscafV3wi5z4yOKdUGRg","Breakfast & Brunch, Diners, Restaurants","Phoenix","5th Avenue Cafe",-112.080631,"AZ",33.480016
"38","-sC66z4SO3tR7nFCjfQwuQ","Mexican, Restaurants","Phoenix","Gallo Blanco Cafe",-112.079081,"AZ",33.49112
"39","hBodj_f6adUAnEVUb_he_A","American (Traditional), Restaurants","Phoenix","Turk's Fish and Chips",-112.073079,"AZ",33.386417
"40","6ZYt8IChJmH3Ra5IqnlivA","Sandwiches, Restaurants","Tempe","Port of Subs",-111.9619158,"AZ",33.3345479
"41","y8a480EiwWikqlR1inkGxg","Sushi Bars, Restaurants","Tempe","Sushi Time",-111.9285013,"AZ",33.3792532
"42","qgVS6sBe7JNEI8otg0Y3dg","American (Traditional), Restaurants","Mesa","Ub's Restaurant & Bar",-111.872612,"AZ",33.407138
"43","2jCyo55dFgGzYpoIX8TwgA","Food, Coffee & Tea","Scottsdale","Starbucks Coffee",-111.8741292,"AZ",33.6226416
"44","hyff2JyqQgf85MaJZslHCg","Tex-Mex, Restaurants","Tempe","Z'Tejas Southwestern Grill",-111.9409053,"AZ",33.4245625
"45","Sy-hmzSH1OmWpHmAfZtxRA","Food, Beer, Wine & Spirits, Grocery","Phoenix","Trader Joe's",-112.0388709,"AZ",33.5076745
"46","qBc36uFI7orWS8NpYZCv_w","Mexican, Restaurants","Mesa","Matta's Grill and Cantina",-111.866054534912,"AZ",33.4351659963261
"47","ehy9Vy1BKc9shO74chuUAQ","Health Markets, Food, Grocery, Ethnic Food, Specialty Food","Glendale","Asiana Market",-112.153592,"AZ",33.655418
"48","6lcay-E_ssmzpGanKbColg","Mediterranean, Restaurants","Phoenix","Zaytoon Kabob Bistro",-112.047066,"AZ",33.507549
"49","sH17KGxbMVrlr66n92Qh8g","Fast Food, Mexican, Restaurants","Phoenix","Del Taco",-111.977264,"AZ",33.638672
"50","FURgKkRFtMK5yKbjYZVVwA","American (New), Restaurants","Phoenix","Windsor",-112.07341192283,"AZ",33.513697188158
"51","9H1PBcxPxicokgj8RJ4L8A","Food, Ice Cream & Frozen Yogurt","Scottsdale","Orange Leaf Frozen Yogurt",-111.8362927,"AZ",33.5870065
"52","kMxYp2GZL5ic6b05gPP57Q","Hot Dogs, Restaurants","Phoenix","Nathans Famous Hotdogs",-111.996914148331,"AZ",33.4341094982183
"53","bzXDUQ-5Odzx5WZNoSoANg","Fish & Chips, Restaurants","Glendale","Oscar's Pier 83 fish and chips",-112.184993,"AZ",33.65316
"54","KHeM4cO2DWK1C09zWCFLFQ","Food, Ice Cream & Frozen Yogurt","Mesa","Bahama Buck's",-111.8248506985,"AZ",33.392989774236
"55","0db71MbrvcJnyk71COCJBg","Chinese, Restaurants","Phoenix","Great Wall Cuisine",-112.134201,"AZ",33.5108735
"56","gWP6ofoyTbK0SZj1i_XqNQ","Food, Grocery","Phoenix","Winco Foods",-112.08,"AZ",33.641458
"57","WVs0Q355wHQ4d1KZOHReZA","Food, Coffee & Tea, Sandwiches, Restaurants","Scottsdale","Java Me Craze'",-111.9315649,"AZ",33.502612
"58","hFTOvDYB5ap59uFgxBQrDg","Food, Coffee & Tea","Scottsdale","Starbucks Coffee",-111.9257312,"AZ",33.6247911
"59","8HmSt7fRFe-uH6i4yCmJQQ","Fast Food, Restaurants","Goodyear","KFC",-112.3411836,"AZ",33.4517561
"60","qdA4qiSXjaiuqO4SueH9VA","Mexican, Restaurants","Mesa","Burrito Express",-111.8564229,"AZ",33.4234775
"61","qnKX52X6N9tp5qcK3QankA","Dry Cleaning & Laundry, Food, Local Services, Convenience Stores, Korean, Restaurants","Chandler","Uno Stop",-111.8425,"AZ",33.313742
"62","3VTBObOAUyDQfpsndTz_pg","Mexican, Restaurants","Glendale","Tortas La Presa #2",-112.1542252,"AZ",33.5384488
"63","h-9z4dgdEghdPLeDMLpDYA","Bars, Restaurants, American (Traditional), Sports Bars, Nightlife","Tempe","Tailgate Sports Bar & Grill",-111.952872,"AZ",33.407724
"64","In93N5Jqu85xAh0qQ2jb1w","Mexican, Restaurants","Gilbert","Chipotle",-111.74286306603,"AZ",33.307805088942
"65","nih6RQC-HttWiO28HOcfOA","American (Traditional), Comfort Food, Caterers, Event Planning & Services, Restaurants","Tempe","Boston Market",-111.9089862,"AZ",33.3912468
"66","h_FP6Lho52MIorjH8GuerQ","Fast Food, Restaurants","Surprise","Jack in the Box",-112.419796,"AZ",33.639044
"67","rSZj7lgBxREaMhGMnjuZ3g","Fast Food, Restaurants","Phoenix","Jack in the Box",-111.978816,"AZ",33.465334
"68","kN8792XEJfCtpD5GJLmI6g","Italian, Pizza, Restaurants","Surprise","NYPD Pizza",-112.361552,"AZ",33.64032
"69","yLa-Qp45lqfwdebh65L3HQ","Food, Grocery","Scottsdale","Fry's Food Stores",-111.976116,"AZ",33.64223
"70","lnX2gaGdO0fNtykyFrp1AA","American (Traditional), Diners, Restaurants","Phoenix","Mel's Diner",-112.0981742,"AZ",33.4643554
"71","oRwWdpARqCjam6k_za8wOA","American (Traditional), Restaurants","Scottsdale","LV Bistro",-111.9189477,"AZ",33.6462961
"72","Xn06AozwcTvUPFNkknbgnw","Fast Food, Pizza, Restaurants","Scottsdale","Pizza Hut",-111.83734988227,"AZ",33.587109615647
"73","WxLMUX59m6sSszVNLnHDEw","Buffets, Chinese, Restaurants","Casa Grande","China Buffet",-111.7157877,"AZ",32.8786089
"74","qAORECtABjr_FsvSzy1apw","Burgers, American (Traditional), Hot Dogs, Restaurants","Phoenix","Smashburger",-111.9746066,"AZ",33.678615
"75","EuNV8_SReV_3KeET2Ums6A","Fast Food, Sushi Bars, Japanese, Restaurants","Scottsdale","Tokyo Express",-111.9271068,"AZ",33.4892464
"76","qiiQoiOsaxXOR1nUxo5WAw","Food, Donuts","Chandler","Dunkin Donuts",-111.8777697,"AZ",33.3056508
"77","_dVPzYGXKNg2rIsc40VtyA","Fast Food, Restaurants","Scottsdale","Jack-In-the Box",-111.9078794,"AZ",33.4952011
"78","x0NOgX6P4x-82cC0kcO1hg","Sushi Bars, Restaurants","Goodyear","Akai Hana Sushi & Grill",-112.39201426506,"AZ",33.4720905777243
"79","Dim6R6ki5Z_05bk_V1htbQ","Pizza, Restaurants","Glendale","Brother's Pizza",-112.202473,"AZ",33.710671
"80","4bhJ2kl1WVnNQeH3xJgz6A","Food, Coffee & Tea","Scottsdale","Starbucks",-111.928185224533,"AZ",33.5824302783656
"81","e8Eke5v8pXw-PuRCu2uPjg","Seafood, Cajun/Creole, Restaurants","Scottsdale","Ocean Trail",-111.865693,"AZ",33.538873
"82","ti3-TiY1y6X8-VJMGNMJnQ","Health Markets, Food, Specialty Food","Phoenix","Hi Health Supermart",-112.0385348,"AZ",33.509264
"83","Edj0quZE5k1WcAtf883j6w","Bars, Nightlife, Lounges","Phoenix","Shady's",-112.023489,"AZ",33.4948091
"84","JUe_TAe9T9MZXutb5fblDg","Pizza, Restaurants","Phoenix","Papa John's",-112.077889,"AZ",33.4802381
"85","lVkDZZ8sTafPlq7f1i5row","Food, Coffee & Tea, Breakfast & Brunch, Vegan, Restaurants","Phoenix","Pomegranate Cafe",-111.99506,"AZ",33.3051122
"86","u2hGxSbpIOZZ3KliIELuTQ","Chinese, Restaurants","Apache Junction","Grand Buffet",-111.5722283,"AZ",33.4160688
"87","cfy-C6XNFt-F-dCQfK7EDQ","Sushi Bars, Restaurants","Chandler","Mikado Sushi",-111.857235,"AZ",33.261388
"88","-_JBgygYYD_UkuD-GVTp6A","Sandwiches, Restaurants","Goodyear","Schlotzsky's",-112.357595,"AZ",33.451414
"89","LeTMz4hrsdHhiS-vNBj82A","Chinese, Restaurants","Phoenix","Little Dragon Chinese Restaurant",-112.1530731,"AZ",33.4803555
"90","-9pVS__IliMA2aNEYzrQrg","Nightlife, Bars, American (Traditional), Sports Bars, Restaurants","Scottsdale","American Junkie",-111.919817,"AZ",33.500169
"91","3yfS1y8bx9MpKXbY56L7BA","Food, Coffee & Tea","Gilbert","Starbucks",-111.7569454,"AZ",33.3336237
"92","wzQAmzQopWcfoCG8lfiE_w","Delis, Sandwiches, Restaurants","Phoenix","Port of Subs",-112.098958,"AZ",33.683666
"93","Gw8DsQQCO5m1hggXqwynFg","Greek, Mediterranean, Restaurants","Phoenix","Greek Patio",-112.0739,"AZ",33.4499
"94","wIHOvreNKWa2_vhM2dyjug","Food, Coffee & Tea","Phoenix","Starbucks",-112.082007,"AZ",33.488414
"95","zwHM6hz8swKIG-4-BSKMPA","Food, Burgers, Sandwiches, Ice Cream & Frozen Yogurt, Restaurants","Phoenix","Culver's",-111.9862419,"AZ",33.5998438
"96","LtdVdYhs7MAwwTBuHhdsFQ","Fast Food, Chinese, Restaurants","Phoenix","Panda Express",-112.1696984,"AZ",33.4950075
"97","7vz3HGtHzvz1JjiphH9uOQ","Mexican, Restaurants","Scottsdale","The Corn Flower",-111.977313,"AZ",33.625322
"98","4KYZxeMyZ5YUp5GvmmCd-Q","Pizza, Restaurants","Cave Creek","Rosati's Pizza",-111.977509,"AZ",33.742499
"99","d4-PiJfqs-_ChKyWuoa0_Q","Sandwiches, Restaurants","Chandler","Sub Zone",-111.876964,"AZ",33.33652
"100","FG_GRMLSj68ximzfrr9eWw","Mexican, Restaurants","Tempe","Macayo's Depot Cantina",-111.943236,"AZ",33.427732
"101","jj-K19oswZARMwCQK-b37A","Caribbean, Restaurants","Chandler","Rumbi Island Grill",-111.9684653,"AZ",33.3173142
"102","mjoxSQR7bFQtlIIjfNfaSQ","Chinese, Restaurants","Surprise","Big Buddha",-112.4159659,"AZ",33.6239817
"103","c1yGkETheht_1vjda7G5sA","Vegetarian, Vegan, Restaurants","Tempe","Green",-111.927165985107,"AZ",33.4537869019623
"104","l1kqHWtICTNk8TdCNisf5A","Japanese, Restaurants","Chandler","Tokyo House",-111.859488487244,"AZ",33.3365788066646
"105","vJ_mfmsWhFJBVNztbk003g","Barbeque, Restaurants","Maricopa","Romy's BBQ",-112.043887,"AZ",33.0546833
"106","Pl1qDTX90DSLHo-ZAlAh9w","Food, Ice Cream & Frozen Yogurt, Fast Food, Restaurants","Scottsdale","Dairy Queen",-111.9264432,"AZ",33.4726716
"107","qP_IDUD0G_iTZitOypzrzA","Pizza, Restaurants","Phoenix","Rosati's Pizza",-112.0323812,"AZ",33.3778548
"108","MQjBx1iVmIz6uI9T0DIkKw","Delis, Restaurants","Phoenix","Charley's Grilled Subs",-112.12371,"AZ",33.666682
"109","xPSLlgEewbXbjsy-LdsBsg","Breakfast & Brunch, Delis, Sandwiches, Restaurants","Scottsdale","Lucy's Cafe & Grill",-111.915163,"AZ",33.6260369
"110","1PM40DbmTVCNgENzZfs1kg","Mexican, Restaurants","Buckeye","El Pollo Loco",-112.5564814,"AZ",33.4393455
"111","Yw86Jnab9ixke9xJ5pLhMQ","Seafood, Restaurants","Glendale","Pete's Fish & Chips",-112.1783249,"AZ",33.5385792
"112","lHMwnlGoTP-KFbdQFMXwvg","Food, Cheese Shops, Specialty Food","Buckeye","Crow's Dairy",-112.521877,"AZ",33.343721
"113","XkNQVTkCEzBrq7OlRHI11Q","Restaurants, Pizza, Italian","Phoenix","Pizza A Metro",-112.1091081,"AZ",33.4806776
"114","NBwPgX7L2D-EZedgo3A-pw","Diners, Mexican, Tex-Mex, Restaurants","Phoenix","Gil's Taste of Taos",-112.047055,"AZ",33.639747
