"","votes.funny","votes.useful","votes.cool","user_id","name","average_stars","review_count"
"1",0,2,0,"Ch6CdTR2IVaVANr-RglMOg","T",5,2
"2",0,0,0,"NZrLmHRyiHmyT1JrfzkCOA","Beth",1,1
"3",30,45,36,"mWx5Sxt_dx-sYBZg6RgJHQ","Amy",3.79,19
"4",28,130,31,"hryUDaRk7FLuDAYui2oldw","Beach",3.83,207
"5",1,0,1,"2t6fZNLtiqsihVmeO7zggg","christine",3,2
"6",0,3,2,"mn6F-eP5WU37b-iLTop2mQ","Denis",4.5,4
"7",5,24,9,"myXq7PFXkD_yfXT580SXMw","Shawn",3.9,10
"8",0,5,1,"74Y-B-8MJhshV7aYSQ93lQ","Johnatton",3.4,5
"9",50,109,49,"34ir_XnUsrqserEuSZdGQA","David",3.39,83
"10",1,3,1,"1Aq2NzZGREMRdAkw55V7dg","Marcus",2.88,8
"11",0,0,0,"B7XCvzvcriFc8xfIA-Wg4A","Renee",5,1
"12",6,4,1,"1aoDw1jVm5UQrVacWg0vnw","s",2.12,8
"13",3,7,3,"iH6y1T5AZZxaKpSNmvjGWw","joe",4.75,4
"14",2,24,0,"2tyadgcxcaEu5LWgLdwLAQ","Na Humma",4.23,22
"15",0,10,4,"mc2glxrNAZuPnCudIaoK4Q","Kay",3.64,11
"16",1,11,3,"LKFo-Z93fhHHF-CkXoXvLw","Cara",3.75,4
"17",0,5,1,"09ZCt5inrt35zuJVtxBB5A","Shelly",2.5,2
"18",0,7,0,"y5YxcvgbQX_uVW0UtHWKxA","Ann-Marie",4,9
"19",0,1,1,"Vu29H1sy1poRld4LIL2Jqw","Sandy",3.67,3
"20",13,21,5,"qMCT8OblN3finTvXcba-oA","Elizabeth",3.62,16
"21",1,7,3,"jy94hgtLcuD0BbZ7o8KCYQ","Dan",4.5,4
"22",0,2,2,"8lrTKMjIJ9kt7rfVtjq3qg","Beth",5,3
"23",0,3,2,"IcSsf2QCA7T-KpdraDxTew","Scott",3.8,6
"24",0,2,0,"d09KNIq4YPYq1u5nVyqIUg","Michael",3.86,8
"25",0,0,0,"vxxNafFH_OMD5B1l231toA","Kelly",5,1
"26",1,4,0,"vAAeeV-kqabpuVr-DmtdFA","Kathey",1.33,4
"27",2,8,2,"R75rQfzSeXzO9LVh0MFjJg","Clay",3.75,8
"28",0,4,1,"D_nff52rbs-OCZbVXeCqzg","Amanda",5,1
"29",0,3,1,"6lyD0ZdmmYZsOMFFwOWsog","Amy",2.62,8
